"","hour_id","datekey","mode_id","od_id","location_id","trips","provider_id","passengers","person_miles_travelled","avg_trip_distance","hour_am_pm","fact_id","Borough","Zone","service_zone","fulldate","calendar.year","calendar.yearmonth","calendar.yearmonth.num","calendar.semester","calendar.quarter","calendar.month.number","month.long.name","month.short.name","calendar.week.number","calendar.week.name","calendar.2.week","day.number.of.year","day.number.of.month","day.number.of.week","day.name.long","day.name.short","weekday.indicator","holiday.indicator","workdays.in.month","mode_text","od_type","provider_type"
"1",0,20160401,1,1,79,264,1,NA,NA,NA,"12am",6822736,"Manhattan","East Village","Yellow Zone","2016-04-01",2016,"2016-Apr",201604,"Semester 1","Qtr 2",4,"April","Apr",14,"Week 14","Weeks 13-14",92,1,6,"Friday","Fri","Weekday","Non-Holiday",21,"TNC","Origin","Uber"
"2",0,20160401,1,1,79,34,2,NA,NA,NA,"12am",6822737,"Manhattan","East Village","Yellow Zone","2016-04-01",2016,"2016-Apr",201604,"Semester 1","Qtr 2",4,"April","Apr",14,"Week 14","Weeks 13-14",92,1,6,"Friday","Fri","Weekday","Non-Holiday",21,"TNC","Origin","Lyft"
"3",0,20160401,2,2,79,20,8,24,3.55875,4.2705,"12am",6823247,"Manhattan","East Village","Yellow Zone","2016-04-01",2016,"2016-Apr",201604,"Semester 1","Qtr 2",4,"April","Apr",14,"Week 14","Weeks 13-14",92,1,6,"Friday","Fri","Weekday","Non-Holiday",21,"Taxi","Destination","Green Taxi"
"4",0,20160401,2,1,79,952,7,1697,5031.85,3.0002731092437,"12am",6823425,"Manhattan","East Village","Yellow Zone","2016-04-01",2016,"2016-Apr",201604,"Semester 1","Qtr 2",4,"April","Apr",14,"Week 14","Weeks 13-14",92,1,6,"Friday","Fri","Weekday","Non-Holiday",21,"Taxi","Origin","Yellow Taxi"
"5",0,20160401,2,2,79,690,7,1199,1.17386989157631,2.0398115942029,"12am",6823588,"Manhattan","East Village","Yellow Zone","2016-04-01",2016,"2016-Apr",201604,"Semester 1","Qtr 2",4,"April","Apr",14,"Week 14","Weeks 13-14",92,1,6,"Friday","Fri","Weekday","Non-Holiday",21,"Taxi","Destination","Yellow Taxi"
"6",0,20160401,4,1,79,43,9,NA,NA,NA,"12am",6823763,"Manhattan","East Village","Yellow Zone","2016-04-01",2016,"2016-Apr",201604,"Semester 1","Qtr 2",4,"April","Apr",14,"Week 14","Weeks 13-14",92,1,6,"Friday","Fri","Weekday","Non-Holiday",21,"Bike Share","Origin","Citi Bike"
"7",0,20160401,4,2,79,50,9,NA,NA,NA,"12am",6823816,"Manhattan","East Village","Yellow Zone","2016-04-01",2016,"2016-Apr",201604,"Semester 1","Qtr 2",4,"April","Apr",14,"Week 14","Weeks 13-14",92,1,6,"Friday","Fri","Weekday","Non-Holiday",21,"Bike Share","Destination","Citi Bike"
"8",1,20160401,1,1,79,173,1,NA,NA,NA,"1am",6823988,"Manhattan","East Village","Yellow Zone","2016-04-01",2016,"2016-Apr",201604,"Semester 1","Qtr 2",4,"April","Apr",14,"Week 14","Weeks 13-14",92,1,6,"Friday","Fri","Weekday","Non-Holiday",21,"TNC","Origin","Uber"
"9",1,20160401,1,1,79,33,2,NA,NA,NA,"1am",6823989,"Manhattan","East Village","Yellow Zone","2016-04-01",2016,"2016-Apr",201604,"Semester 1","Qtr 2",4,"April","Apr",14,"Week 14","Weeks 13-14",92,1,6,"Friday","Fri","Weekday","Non-Holiday",21,"TNC","Origin","Lyft"
"10",1,20160401,2,2,79,9,8,10,3.838,4.26444444444444,"1am",6824453,"Manhattan","East Village","Yellow Zone","2016-04-01",2016,"2016-Apr",201604,"Semester 1","Qtr 2",4,"April","Apr",14,"Week 14","Weeks 13-14",92,1,6,"Friday","Fri","Weekday","Non-Holiday",21,"Taxi","Destination","Green Taxi"
"11",1,20160401,2,1,79,691,7,1175,3546.7,2.96536903039074,"1am",6824617,"Manhattan","East Village","Yellow Zone","2016-04-01",2016,"2016-Apr",201604,"Semester 1","Qtr 2",4,"April","Apr",14,"Week 14","Weeks 13-14",92,1,6,"Friday","Fri","Weekday","Non-Holiday",21,"Taxi","Origin","Yellow Taxi"
